year,day,n,median,mean
2020,Monday,465,21.0000,33.0065
2020,Tuesday,402,24.0000,109.4303
2020,Wednesday,380,23.0000,37.0500
2020,Thursday,325,25.0000,38.8369
2020,Friday,324,26.0000,40.9198
2021,Monday,424,20.0000,31.9552
2021,Tuesday,411,21.0000,32.9684
2021,Wednesday,360,19.0000,32.9722
2021,Thursday,352,21.0000,55.7585
2021,Friday,310,20.0000,32.8484
2022,Monday,521,15.0000,24.0134
2022,Tuesday,425,17.0000,25.9012
2022,Wednesday,406,17.0000,25.4581
2022,Thursday,345,18.0000,24.5797
2022,Friday,339,16.0000,23.9027
2023,Monday,548,13.0000,32.0821
2023,Tuesday,437,14.0000,20.9817
2023,Wednesday,391,15.0000,24.6803
2023,Thursday,396,13.0000,19.5732
2023,Friday,325,14.0000,19.8923
