year,day,n,median,mean
2020,Monday,689,22.0000,33.0189
2020,Tuesday,524,26.5000,39.7844
2020,Wednesday,453,24.0000,38.3223
2020,Thursday,490,23.0000,32.1020
2020,Friday,411,23.0000,34.6934
2021,Monday,601,18.0000,25.6639
2021,Tuesday,506,21.0000,30.3340
2021,Wednesday,515,20.0000,31.2777
2021,Thursday,473,20.0000,27.9704
2021,Friday,417,21.0000,31.6475
2022,Monday,649,14.0000,22.2696
2022,Tuesday,599,16.0000,26.0367
2022,Wednesday,511,16.0000,35.8317
2022,Thursday,527,16.0000,24.3150
2022,Friday,423,16.0000,23.2577
2023,Monday,580,12.0000,18.3466
2023,Tuesday,495,13.0000,23.3152
2023,Wednesday,496,12.0000,18.5726
2023,Thursday,428,14.5000,21.1822
2023,Friday,366,12.0000,19.2623
