year,day,n,median,mean
2020,Monday,128,24.5000,38.7188
2020,Tuesday,124,27.5000,64.1532
2020,Wednesday,120,33.5000,51.9583
2020,Thursday,127,28.0000,49.5906
2020,Friday,92,29.5000,47.7826
2021,Monday,139,29.0000,43.7338
2021,Tuesday,119,27.0000,54.8067
2021,Wednesday,101,28.0000,59.0000
2021,Thursday,102,24.5000,36.7745
2021,Friday,91,22.0000,78.0330
2022,Monday,129,19.0000,30.9457
2022,Tuesday,115,23.0000,48.6609
2022,Wednesday,93,25.0000,35.9355
2022,Thursday,119,21.0000,56.5966
2022,Friday,75,16.0000,25.5333
2023,Monday,162,23.0000,39.0185
2023,Tuesday,129,23.0000,36.2558
2023,Wednesday,121,23.0000,82.5124
2023,Thursday,125,27.0000,41.0800
2023,Friday,114,20.0000,38.3246
