year,day,n,median,mean
2020,Monday,37,28.0000,43.0000
2020,Tuesday,40,25.5000,79.5250
2020,Wednesday,33,28.0000,73.6364
2020,Thursday,46,41.0000,77.6522
2020,Friday,38,61.0000,155.6316
2021,Monday,51,26.0000,36.6667
2021,Tuesday,75,37.0000,73.3733
2021,Wednesday,31,21.0000,38.5806
2021,Thursday,38,41.5000,91.0000
2021,Friday,31,16.0000,45.6452
2022,Monday,51,20.0000,42.7255
2022,Tuesday,46,30.0000,50.5000
2022,Wednesday,38,22.0000,48.4474
2022,Thursday,42,27.5000,56.9762
2022,Friday,49,22.0000,61.1020
2023,Monday,71,17.0000,44.4789
2023,Tuesday,43,13.0000,41.3953
2023,Wednesday,45,12.0000,25.4222
2023,Thursday,51,16.0000,22.2353
2023,Friday,37,14.0000,21.7838
