year,day,n,median,mean
2020,Monday,83,27.0000,35.5783
2020,Tuesday,92,24.0000,55.3478
2020,Wednesday,70,29.5000,58.4857
2020,Thursday,77,32.0000,67.3377
2020,Friday,63,23.0000,35.0476
2021,Monday,91,25.0000,38.5824
2021,Tuesday,93,27.0000,33.2688
2021,Wednesday,74,23.5000,31.8649
2021,Thursday,83,27.0000,36.0723
2021,Friday,71,24.0000,42.4930
2022,Monday,82,15.0000,20.3415
2022,Tuesday,75,18.0000,29.2800
2022,Wednesday,70,18.0000,23.4286
2022,Thursday,80,11.0000,22.8250
2022,Friday,64,18.5000,26.2812
2023,Monday,101,13.0000,21.9208
2023,Tuesday,70,15.5000,23.2571
2023,Wednesday,79,13.0000,17.6203
2023,Thursday,87,16.0000,23.7701
2023,Friday,73,15.0000,25.3425
