year,day,n,median,mean
2020,Monday,832,19.0000,30.4435
2020,Tuesday,757,21.0000,32.8956
2020,Wednesday,706,22.0000,33.0850
2020,Thursday,694,21.0000,37.8300
2020,Friday,619,22.0000,35.2068
2021,Monday,813,17.0000,26.1304
2021,Tuesday,730,19.0000,28.4603
2021,Wednesday,683,19.0000,29.6940
2021,Thursday,686,21.0000,32.0860
2021,Friday,613,19.0000,30.2007
2022,Monday,801,15.0000,22.3970
2022,Tuesday,779,15.0000,23.3890
2022,Wednesday,690,14.0000,22.5000
2022,Thursday,682,15.0000,22.2038
2022,Friday,637,15.0000,22.0691
2023,Monday,835,11.0000,19.9713
2023,Tuesday,740,13.0000,18.8419
2023,Wednesday,709,12.0000,20.5219
2023,Thursday,704,12.0000,18.2017
2023,Friday,628,12.0000,18.8471
